case,condition,box_iou_H0,abs_delta_dice
2006,H1,0.9619883040935672,0.007961201708169385
2007,H1,1.0,0.0
2008,H1,1.0,0.0
2009,H1,1.0,0.0
2014,H1,0.9337474120082816,0.006843257955129078
2026,H1,1.0,0.0
2029,H1,1.0,0.0
2031,H1,0.91005291005291,0.015052151516904755
2039,H1,0.9803921568627452,2.078830709484336e-05
2055,H1,1.0,0.0
2062,H1,1.0,0.0
2064,H1,0.96875,0.0009192430374649341
2065,H1,1.0,0.0
2066,H1,0.95,0.0016538940946251302
2075,H1,0.8043478260869565,0.017070772581634808
2076,H1,0.3444022770398482,0.4476074140952785
2082,H1,0.9777777777777776,0.02211137589389356
2108,H1,0.9821428571428572,0.002652026647644523
211,H1,0.9672131147540984,0.047304409532790026
2110,H1,0.975609756097561,0.0004176423279218522
2118,H1,1.0,0.0
2127,H1,0.9743589743589745,0.007133643174398879
2136,H1,0.9782608695652174,0.003948623059221001
2137,H1,1.0,0.0
2148,H1,0.9655172413793104,0.0002596457458353685
217,H1,0.9838709677419356,0.0012731762253379575
2170,H1,1.0,0.0
2176,H1,1.0,0.0
2178,H1,0.9375,0.0005980529817506408
2182,H1,1.0,0.0
2188,H1,0.9777777777777776,9.138597060676101e-05
2208,H1,0.9733333333333334,0.015733643096746963
2211,H1,0.9787234042553192,0.025576005963363846
2213,H1,0.8853809196980096,0.0008878084764890003
2214,H1,1.0,0.0
2221,H1,0.9705882352941176,0.0010339415308017186
2226,H1,0.9761904761904762,6.52298902060755e-05
2227,H1,0.9545454545454546,0.003722915603549204
223,H1,0.9188220230473751,7.10124092829778e-05
2237,H1,0.9696969696969696,0.0170970359410052
2241,H1,0.9406575781876504,0.01140058024354651
2244,H1,0.9088669950738916,0.05470087579893412
2245,H1,0.9344444444444444,0.04954736891426004
2246,H1,1.0,0.0
2248,H1,0.9307862679955704,0.001359213973058604
2259,H1,0.9289902280130292,0.00039523320557166564
2272,H1,0.9814814814814816,0.00845466966614683
2277,H1,0.9782608695652174,0.001415173958214333
2278,H1,1.0,0.0
228,H1,0.9464285714285714,0.00043985860817952194
2293,H1,0.9245283018867924,0.019930096669263597
2326,H1,0.8630952380952381,0.07281015982178418
233,H1,1.0,0.0
234,H1,0.9390243902439024,0.0026845975707140424
2344,H1,0.9875,0.0001332104220377328
2353,H1,0.9772727272727272,0.0030427210369244895
2364,H1,0.975,0.0007813485370290474
238,H1,0.9782608695652174,0.013461043181790311
2384,H1,1.0,0.0
2386,H1,1.0,0.0
2388,H1,0.9475319295823266,0.03762629805997075
2389,H1,0.9538291401714128,0.00013291684858274255
2392,H1,1.0,0.0
2395,H1,0.915032679738562,0.023334780656888543
2399,H1,0.9098039215686274,0.04348087748296514
2400,H1,0.9373275522270398,0.012183195180780704
