filename,dice,iou,gt_pixels,pred_pixels
2504.png,0.7171004264078812,0.5589684813753582,8714,4888
2511.png,0.4054080922556914,0.25423940149625934,2046,8013
2520.png,0.8973266588561082,0.8137737853762195,10222,8556
2522.png,0.9124532756246311,0.8390014471780028,2570,2513
2523.png,0.9119094488188977,0.838082315694256,2057,2007
2532.png,0.7178082191780822,0.5598290598290598,8242,10738
2533.png,0.7437208024182468,0.5920027998950039,8970,9225
2537.png,0.5234463276836158,0.35450545245838916,5626,8534
2542.png,0.9120709602776707,0.8383551931939028,2605,2581
2545.png,0.8882691302074255,0.7989965506428347,2772,2965
2555.png,0.0,0.0,2279,5448
2556.png,0.8908801849978321,0.8032316914255929,7560,6278
2557.png,0.9489240763296792,0.9028121137206427,6447,5868
256.png,0.9456384323640961,0.8968824940047961,3545,3574
2565.png,0.39679756895745677,0.2475030983451192,13705,3407
2575.png,0.887793427230047,0.7982271000422119,7055,5725
2577.png,0.8448673587081892,0.7314028956565152,6008,4396
2581.png,0.5683101816516563,0.39695063439599104,3760,9342
2582.png,0.8705673758865248,0.7708006279434851,4104,4920
2589.png,0.42526071842410196,0.27005150846210446,2249,1203
2590.png,0.7187742435996897,0.5610051468362095,3303,1853
2591.png,0.463267429760666,0.3014626218851571,3678,1127
2592.png,0.7885840953172624,0.6509606587374199,4304,2914
2593.png,0.8732922582373426,0.7750832144555397,3843,3623
2594.png,0.6710613052076466,0.5049603174603174,3024,1527
2602.png,0.6809441925902767,0.5162360748992653,8429,4365
2605.png,0.3906105457909343,0.2427072855295301,6959,1689
2608.png,0.773198977289818,0.6302562216501164,7693,5605
2609.png,0.25838926174496646,0.14836223506743737,4132,636
262.png,0.9050729673384295,0.8266057374968266,3468,3727
2623.png,0.20194090066514012,0.112310491206792,7370,1801
263.png,0.8863049095607235,0.7958236658932715,2253,2391
2656.png,0.7102952913008779,0.5507425742574258,4186,7091
2660.png,0.7010719225449515,0.5397311327033143,7511,4057
2680.png,0.8211413251627729,0.6965562053281351,1539,1072
2685.png,0.7751347922613384,0.6328327291558777,1931,1222
2701.png,0.887272040064254,0.7973845108695652,5888,4695
2703.png,0.6178531073446327,0.44702419882275995,1715,2710
2705.png,0.8018391835819222,0.6692250093597903,5315,3602
2706.png,0.7017297145267894,0.5405112651646448,4581,2530
2716.png,0.7860989997435239,0.6475808155503908,4220,3578
2720.png,0.8058222359863735,0.674792531120332,6523,6393
2721.png,0.7692751949177015,0.6250586579070859,6316,4073
2723.png,0.6177020569291503,0.4468660754546821,6493,3133
2740.png,0.745035027958095,0.5936699784902182,9301,6258
2752.png,0.7997169143665959,0.6662735849056604,595,818
2754.png,0.6568399275924489,0.4890257989988448,1411,2456
2766.png,0.6939857288481142,0.5313768342179207,9449,5266
2768.png,0.6403380031131866,0.4709538139474029,15094,7391
2771.png,0.7554524943594886,0.6070097693624735,6592,9364
2781.png,0.6553702468312208,0.4873982933121651,2479,5016
2782.png,0.9496766938431263,0.9041755888650964,3698,3416
2784.png,0.0,0.0,5054,1144
2787.png,0.8040140086206896,0.672260389683523,6309,8539
2794.png,0.6418503794723527,0.4725918041511442,1825,942
28.png,0.6610348468848997,0.49369085173501576,2117,3565
2801.png,0.4734144778987828,0.3101133025597986,5817,16037
2807.png,0.9312429165092557,0.871332626369742,2547,2747
2810.png,0.7936079225748368,0.6578358208955224,2675,1768
2816.png,0.0,0.0,3396,882
2825.png,0.8667072428484479,0.7647690655209453,1523,1763
2827.png,0.863458310016788,0.7597242737567701,1577,1997
2835.png,0.8753056234718827,0.7782608695652173,789,847
284.png,0.9054054054054054,0.8271604938271605,980,1092
2846.png,0.8165281832472491,0.6899430740037951,2058,2395
2866.png,0.5060887051726064,0.3387675740352976,2265,6686
2871.png,0.9035281998454803,0.8240323186771891,10413,9002
2875.png,0.9028091701646755,0.8228369629193644,1614,1483
2877.png,0.5846679749319491,0.41309598354056715,4729,11068
