filename,a,b,same_text,abs_dice,box_iou
1519.png,H0,H1,False,0.00023832376773558206,0.96875
1519.png,H0,H2,False,0.002528186818216982,0.9197860962566845
1519.png,H1,H2,False,0.002766510585952564,0.891042780748663
152.png,H0,H1,False,0.00039010790257709704,0.9555555555555556
152.png,H0,H2,False,0.00039010790257709704,0.9555555555555556
152.png,H1,H2,True,0.0,1.0
1529.png,H0,H1,False,0.0,1.0
1529.png,H0,H2,False,0.0062089398347285885,0.9777777777777777
1529.png,H1,H2,False,0.0062089398347285885,0.9777777777777777
1533.png,H0,H1,False,0.007878053122692297,0.9003215434083601
1533.png,H0,H2,False,0.005567812545155815,0.8857808857808858
1533.png,H1,H2,False,0.013445865667848111,0.8362470862470862
1534.png,H0,H1,False,0.0019912956484614552,0.9772727272727273
1534.png,H0,H2,False,0.0,1.0
1534.png,H1,H2,False,0.0019912956484614552,0.9772727272727273
1535.png,H0,H1,False,0.0045905713456904085,0.9476584022038568
1535.png,H0,H2,False,0.04047190208256468,0.809469480889903
1535.png,H1,H2,False,0.04506247342825509,0.7671232876712328
1536.png,H0,H1,False,0.0018514640736275734,0.9487179487179487
1536.png,H0,H2,False,0.009610775494123036,0.8717948717948718
