prompt1,prompt2,text_cosine_similarity,text_cosine_distance,text_euclidean_normalized,heatmap_mae_mean,heatmap_corr_distance_mean,box_instability_mean,n_observations,text_distance_quartile
P06,P14,0.9558998346328735,0.044100165367126465,0.2969852685928345,0.010063518349003622,0.06498943308943293,0.2773633719220606,60,Q1_nearest
P06,P15,0.8804724812507629,0.11952751874923706,0.48893269896507263,0.020882883543769475,0.09440551393450093,0.4761290284011483,60,Q4_farthest
P06,P16,0.9235054850578308,0.07649451494216919,0.39113831520080566,0.01531297440718234,0.10621784205587913,0.3512197700457322,60,Q3
P06,P17,0.9099001288414001,0.09009987115859985,0.42449939250946045,0.01713903407411025,0.10862804520392304,0.34295978799838434,60,Q3
P06,P18,0.9678285121917725,0.03217148780822754,0.25365936756134033,0.007025098773495556,0.03132442343443081,0.3287828598116722,60,Q1_nearest
P06,P19,0.8861393332481384,0.11386066675186157,0.4772017002105713,0.018994629142495445,0.11822457543713512,0.32459684628336116,60,Q4_farthest
P06,P20,0.9437958598136902,0.056204140186309814,0.3352735936641693,0.013232001134504828,0.07078326602262983,0.3879736677696105,60,Q2
P07,P08,0.9329298734664917,0.0670701265335083,0.36625200510025024,0.013362372810176208,0.06086326057779893,0.34567070980999226,60,Q2
P07,P09,0.901358962059021,0.098641037940979,0.444164514541626,0.013677432116431448,0.07199034986303181,0.28070910728965676,60,Q4_farthest
P07,P10,0.8986033797264099,0.10139662027359009,0.45032578706741333,0.016688182492119515,0.08970892286285355,0.4705525345288825,60,Q4_farthest
P07,P11,0.9266922473907471,0.07330775260925293,0.3829041123390198,0.01421994336027026,0.07379147632319968,0.30721761655549684,60,Q3
P07,P12,0.9125281572341919,0.0874718427658081,0.418262779712677,0.01465341198102876,0.08245662408266995,0.3563484785758654,60,Q3
P07,P13,0.9522184729576111,0.047781527042388916,0.3091328740119934,0.011480744574995046,0.03940907914900045,0.28608641794895207,60,Q1_nearest
P07,P14,0.945938229560852,0.05406177043914795,0.32882142066955566,0.01417312095096951,0.05792999420769833,0.3166047978169107,60,Q2
P07,P15,0.8543489575386047,0.14565104246139526,0.5397241711616516,0.018440160000075853,0.09517278444922396,0.359612107158575,60,Q4_farthest
P07,P16,0.9519749879837036,0.04802501201629639,0.3099195063114166,0.011431262370509353,0.044324708374313224,0.24078234213876798,60,Q1_nearest
P07,P17,0.9215607643127441,0.07843923568725586,0.396078884601593,0.014636390570861546,0.07464169539702156,0.4516574001573065,60,Q3
P07,P18,0.8978101015090942,0.10218989849090576,0.45208409428596497,0.016427706216927566,0.10426393132941938,0.3671957889035664,60,Q4_farthest
P07,P19,0.914588212966919,0.08541178703308105,0.4133082628250122,0.012934422702528488,0.0648795020183883,0.36260847844461563,60,Q3
P07,P20,0.9395893812179565,0.06041061878204346,0.34759363532066345,0.01229910090720897,0.05491054937388775,0.2935557306637195,60,Q2
P08,P09,0.9183828234672546,0.08161717653274536,0.40402287244796753,0.013333247252739917,0.06592038071102842,0.2729975248149938,60,Q3
P08,P10,0.9360432624816895,0.06395673751831055,0.35764995217323303,0.012366011238191236,0.052968998281527416,0.3552145146916173,60,Q2
P08,P11,0.9671062231063843,0.03289377689361572,0.25649145245552063,0.010461886919802005,0.05612270949284998,0.34410482897373423,60,Q1_nearest
P08,P12,0.9494338035583496,0.05056619644165039,0.31801337003707886,0.011980460095219256,0.05715633113142022,0.20295023493545036,60,Q2
P08,P13,0.9773156046867371,0.02268439531326294,0.21300008893013,0.008350000460632095,0.02874606834885315,0.2629229868975681,60,Q1_nearest
P08,P14,0.973626971244812,0.02637302875518799,0.22966524958610535,0.009596667822916015,0.030120026767170575,0.22944896463636166,60,Q1_nearest
P08,P15,0.8556984663009644,0.14430153369903564,0.5372181534767151,0.02157833985984321,0.1285082327866777,0.4331375514673503,60,Q4_farthest
P08,P16,0.9700047969818115,0.029995203018188477,0.24493011832237244,0.009139712216953385,0.045805204748034185,0.29883124903299324,60,Q1_nearest
P08,P17,0.9591866731643677,0.040813326835632324,0.2857040464878082,0.012794104800559534,0.05122824877575411,0.275024686429902,60,Q1_nearest
P08,P18,0.9330710768699646,0.0669289231300354,0.36586618423461914,0.013477195556818778,0.08404895787657299,0.3475987227133748,60,Q2
P08,P19,0.9198641180992126,0.08013588190078735,0.40033963322639465,0.014736891863867592,0.0723373456351198,0.24652146214251275,60,Q3
P08,P20,0.9773545265197754,0.02264547348022461,0.21281714737415314,0.00829147654197485,0.02825200752217764,0.28960140290150765,60,Q1_nearest
P09,P10,0.8618297576904297,0.1381702423095703,0.5256809592247009,0.014491303334943905,0.10462934950457854,0.39552057505049576,60,Q4_farthest
