case,mean_pairwise_box_iou,risk_1_minus_mean_pairwise_iou
1368,0.907249042145594,0.09275095785440601
1370,0.9885057471264367,0.011494252873563315
1371,0.9466666666666668,0.05333333333333323
1372,0.9604761904761904,0.03952380952380963
1373,0.9288978494623658,0.07110215053763425
1378,0.7230693062228322,0.27693069377716784
138,0.9492850761781028,0.05071492382189724
1380,0.8459247822432115,0.15407521775678845
1381,0.9148185937569153,0.08518140624308468
1384,0.8485957690108634,0.15140423098913658
1387,0.9227759155360555,0.07722408446394446
1388,0.8339066587544134,0.1660933412455866
1397,0.8961108216765976,0.10388917832340239
1398,0.9691084760649978,0.030891523935002163
1399,0.9175984210211935,0.08240157897880651
1401,0.3717706286836935,0.6282293713163065
1402,0.8471787413359373,0.1528212586640627
1406,0.940021529888551,0.05997847011144897
1407,0.7776046686566399,0.2223953313433601
1410,0.6722310729314548,0.3277689270685452
1411,0.8240646979283344,0.17593530207166563
1425,0.9462997685406797,0.05370023145932035
1426,0.926644597403797,0.07335540259620299
1435,0.812622196489752,0.18737780351024802
1436,0.8774266573197091,0.12257334268029085
1437,0.9118987086166105,0.08810129138338951
1442,0.7631784186052534,0.23682158139474663
1457,0.8295155283267709,0.1704844716732291
1458,0.8818375407079433,0.11816245929205671
1459,0.7686106534376529,0.2313893465623471
1461,0.8958592942460548,0.10414070575394518
1464,0.8991865587826823,0.10081344121731772
1465,0.9250403437213756,0.07495965627862444
1466,0.8897972794181075,0.11020272058189251
1472,0.8179324183123691,0.18206758168763093
1477,0.8935612417482692,0.10643875825173077
1480,0.8627567652864125,0.13724323471358746
1481,0.7681367606110593,0.2318632393889407
1482,0.9486526393503137,0.05134736064968626
1483,0.909682326891681,0.09031767310831895
1484,0.8929187144809553,0.10708128551904472
1485,0.8544972269110199,0.14550277308898008
1488,0.8771552895269833,0.1228447104730167
1490,0.8537158884102991,0.1462841115897009
1491,0.8917520442520441,0.10824795574795587
1492,0.9395964439210734,0.06040355607892656
1493,0.8803544427377811,0.11964555726221893
1495,0.9855072463768118,0.014492753623188248
1496,0.80036785625853,0.19963214374146998
1497,0.8118419743203866,0.18815802567961337
1498,0.9355481727574751,0.06445182724252485
150,0.8091913281492648,0.19080867185073525
1509,0.8757611971991406,0.12423880280085942
1519,0.8672490900744785,0.13275090992552152
152,0.8776075766081604,0.12239242339183964
1529,0.9623045267489712,0.037695473251028844
1533,0.802477671589823,0.19752232841017703
1534,0.9863636363636362,0.01363636363636378
1535,0.77957303076003,0.22042696923996996
1536,0.8306422553507367,0.16935774464926334
1545,0.5707215955150268,0.42927840448497323
1546,0.788960046102081,0.21103995389791896
1547,0.9669110217110046,0.033088978288995374
1548,0.9391062325100281,0.060893767489971884
1551,0.8223136101127015,0.17768638988729846
1552,0.8974943868605776,0.10250561313942241
1555,0.9082183844584014,0.09178161554159858
1559,0.9122871808589827,0.08771281914101725
156,0.7088022540568614,0.29119774594313863
1560,0.8174173296807885,0.1825826703192115
1563,0.8664508959254289,0.1335491040745711
1564,0.9297204565841072,0.07027954341589282
1574,0.9026605552921344,0.0973394447078656
1575,0.8371338916877878,0.16286610831221215
1577,0.8814109941002743,0.11858900589972565
1579,0.9627781914807618,0.037221808519238175
1583,0.4001686073610017,0.5998313926389983
1585,0.8563286881220926,0.14367131187790738
1587,0.803722720713693,0.196277279286307
1588,0.751315524659662,0.248684475340338
1590,0.8701705501654011,0.12982944983459888
1591,0.8410131041342367,0.1589868958657633
1596,0.9196152628418345,0.08038473715816552
16,0.9895833333333334,0.01041666666666663
1600,0.941124804482717,0.05887519551728304
1601,0.8591573465114134,0.1408426534885866
1619,0.9642424242424242,0.035757575757575766
1628,0.9495245732615418,0.05047542673845817
1629,0.5881728102025974,0.4118271897974026
1630,0.9398679405875578,0.06013205941244215
1644,0.9722943722943724,0.027705627705627567
1645,0.9570370370370368,0.0429629629629632
1646,0.9394662438895494,0.06053375611045064
1647,0.9410786290322581,0.05892137096774186
1648,0.8609893949136816,0.13901060508631835
1656,0.9563218390804599,0.04367816091954013
1657,0.9247311827956989,0.07526881720430112
1665,0.8377400442301878,0.16225995576981223
1666,0.9880952380952379,0.011904761904762085
167,0.93866106375827,0.061338936241730035
1678,0.9131288271538109,0.08687117284618906
1684,0.636297903109183,0.363702096890817
1685,0.5705752359394105,0.4294247640605895
1686,0.7994834967656493,0.20051650323435066
1689,0.9326901847149183,0.06730981528508173
169,0.8102736051848075,0.1897263948151925
1696,0.9231892791551882,0.07681072084481178
1706,0.9761904761904763,0.023809523809523725
1715,0.9822222222222223,0.01777777777777767
1716,0.9122330517767736,0.0877669482232264
1718,0.9306284576302111,0.06937154236978893
1727,0.9110892174767866,0.08891078252321338
1728,0.926778087566396,0.07322191243360399
1729,0.8521245393378877,0.14787546066211232
1730,0.7558176996435217,0.24418230035647825
1734,0.9260974213206299,0.07390257867937011
1735,0.9234726835789803,0.07652731642101973
1736,0.900037813156774,0.099962186843226
174,0.911235188822564,0.08876481117743595
1740,0.8587151431384485,0.14128485686155146
1744,0.9314552272521913,0.06854477274780868
1746,0.9205101912763202,0.07948980872367983
1752,0.9809523809523808,0.019047619047619202
1769,0.8206788304565497,0.17932116954345034
1771,0.9402902902902904,0.05970970970970957
1773,0.92048129621864,0.07951870378135995
